DATA,STDEV.S (±5p),Max,STDEV.S (±20p),Mean Max value over 100 points
-0.44,0.241472754,-0.01,0.291770097,-0.07889
-0.38,0.233199096,0.03,0.267953567,-0.08020
-0.18,0.186459842,0.03,0.266827886,-0.07343
-0.23,0.18038847,0.03,0.257653179,-0.06687
-0.35,0.178147028,0.19,0.254500575,-0.06747
-0.11,0.163856922,0.19,0.254117804,-0.06929
-0.01,0.140886802,0.19,0.230561931,-0.06828
-0.04,0.119369556,0.19,0.222969738,-0.06687
-0.02,0.151861181,0.19,0.223036778,-0.06081
-0.26,0.146001245,0.19,0.215587482,-0.05818
0.03,0.1179291,0.19,0.214755778,-0.06030
-0.09,0.129101792,0.19,0.214776662,-0.06364
-0.18,0.170635177,0.19,0.200980432,-0.06465
0.19,0.174803786,0.19,0.191709394,-0.06364
-0.13,0.189319355,0.16,0.195208382,-0.06313
-0.1,0.187534239,0.16,0.191233103,-0.06051
0.12,0.196880213,0.16,0.187565861,-0.06232
-0.42,0.198787232,0.16,0.185810606,-0.06111
-0.22,0.202794119,0.16,0.182818163,-0.05616
0.15,0.194744588,0.16,0.183799869,-0.04939
0.11,0.201069866,0.16,0.196374673,-0.04909
0.16,0.201214494,0.16,0.186491177,-0.05606
-0.14,0.198887817,0.14,0.177485201,-0.06242
-0.23,0.147783626,0.14,0.17479176,-0.06404
0.11,0.133974217,0.14,0.173813331,-0.05960
0.14,0.13261016,0.14,0.171832672,-0.05586
0.06,0.128537225,0.09,0.177111061,-0.05717
0.08,0.128798645,0.09,0.183082381,-0.06606
0,0.124564697,0.09,0.18442602,-0.07394
-0.12,0.110189919,0.09,0.194579366,-0.07313
-0.1,0.147062139,0.2,0.20774324,-0.06899
-0.04,0.139733513,0.2,0.207500817,-0.07081
-0.21,0.138786952,0.36,0.208055119,-0.07354
-0.04,0.124987272,0.36,0.208543172,-0.07616
0.09,0.155458267,0.36,0.208399746,-0.07707
-0.36,0.164880122,0.36,0.205647561,-0.06980
-0.2,0.212525934,0.36,0.208964912,-0.06596
-0.23,0.219718829,0.36,0.210689161,-0.06788
-0.14,0.213869119,0.37,0.212349354,-0.07081
0.2,0.231186662,0.37,0.206902484,-0.06939
0.08,0.226936114,0.37,0.209703688,-0.06303
0.36,0.204049905,0.37,0.207328095,-0.05687
0.14,0.227124315,0.37,0.207526166,-0.05242
-0.12,0.222171105,0.37,0.212882969,-0.05091
-0.31,0.211152681,0.37,0.21912036,-0.04859
-0.08,0.259355845,0.37,0.220522886,-0.04758
-0.01,0.306205516,0.37,0.223653099,-0.04556
0.37,0.285590298,0.37,0.221584698,-0.04323
0.28,0.277685237,0.28,0.221346679,-0.04414
0.12,0.278038585,0.12,0.220468393,-0.04727
-0.43,0.270756516,0.19,0.2209388,-0.04778
-0.51,0.271507576,0.19,0.222099117,-0.04899
-0.25,0.276780188,0.19,0.222954589,-0.04960
